t,x,y,z,psi,u,v,w,r,x_d,y_d,z_d,psi_d,tau_u,tau_v,tau_w,tau_r
0.0,0.0,0.0,-3.0,1.5707963267948966,0.0,-0.0,-0.0,-0.0,0.0,0.0,-3.0,0.0,1.513339341500371,-35.0,0.9809999999999945,-10.0
0.0,0.0,0.0,-3.0,1.5707963267948966,0.0,-0.0,-0.0,-0.0,0.0,0.0,-3.0,0.0,1.6812563511819638,-35.0,0.9809999999999945,-10.0
0.019999999999999574,6.086956521750434e-05,2.6318945043575526e-06,-2.999998293913044,1.5695463266881262,0.00013387728853201126,-0.0030433785186418957,8.530434780773533e-05,-0.06250000555731261,0.012566333866211372,2.6318906587108337e-05,-3.0,0.004188790204786302,2.083402439313993,-35.0,0.9809999999999945,-10.0
0.019999999999999574,6.086956521750434e-05,2.6318945043575526e-06,-2.999998293913044,1.5695463266881262,0.00013387728853201126,-0.0030433785186418957,8.530434780773533e-05,-0.06250000555731261,0.012566333866211372,2.6318906587108337e-05,-3.0,0.004188790204786302,2.266991062776164,-35.0,0.9809436650086916,-10.0
0.03999999999999915,0.000365221872885571,1.7290750501078885e-05,-2.999989763478263,1.563296326232396,0.0008044559349486422,-0.015213926540642663,0.00042652173903867663,-0.3125000229380609,0.025132447244311303,0.00010527516455816066,-3.0,0.008377580409572602,2.716591190672857,-35.0,0.9808967321894961,-10.0
0.03999999999999915,0.000365221872885571,1.7290750501078885e-05,-2.999989763478263,1.563296326232396,0.0008044559349486422,-0.015213926540642663,0.00042652173903867663,-0.3125000229380609,0.025132447244311303,0.00010527516455816066,-3.0,0.008377580409572602,2.938929899963884,-35.0,0.9805764331081578,-10.0
0.05999999999999872,0.0009131004058961683,4.7497687621523295e-05,-2.9999744090711995,1.5520463262323965,0.001885330207154087,-0.027370396557054366,0.0007677203531786247,-0.5624999999415277,0.03769811965005702,0.00023686738855166478,-3.0,0.012566370614358903,3.458787108235997,-35.0,0.9803104576523011,-10.0
0.05999999999999872,0.0009131004058961683,4.7497687621523295e-05,-2.9999744090711995,1.5520463262323965,0.001885330207154087,-0.027370396557054366,0.0007677203531786247,-0.5624999999415277,0.03769811965005702,0.00023686738855166478,-3.0,0.012566370614358903,3.737613371087714,-35.0,0.9795854314758594,-10.0
0.08000000000000007,0.0017046662449378017,9.615451024522467e-05,-2.9999522331683854,1.5357963262323961,0.003527753729602285,-0.039495081315793455,0.001108795140702945,-0.8124999999914342,0.05026313060694412,0.0004210932696588898,-3.0,0.01675516081914558,4.347154187702687,-35.0,0.9789871760026877,-10.0
0.08000000000000007,0.0017046662449378017,9.615451024522467e-05,-2.9999522331683854,1.5357963262323961,0.003527753729602285,-0.039495081315793455,0.001108795140702945,-0.8124999999914342,0.05026313060694412,0.0004210932696588898,-3.0,0.01675516081914558,4.695291726082513,-35.0,0.9777683403898003,-10.0
0.09999999999999964,0.0027402620462167707,0.000165825592180224,-2.9999232425377516,1.514546326232396,0.005896458420219066,-0.05155943043766516,0.001449531531694248,-1.0625000000080338,0.06282725965007066,0.0006579495754635012,-3.0,0.02094395102393188,5.410663864462151,-35.0,0.9767696602369604,-10.0
0.09999999999999964,0.0027402620462167707,0.000165825592180224,-2.9999232425377516,1.514546326232396,0.005896458420219066,-0.05155943043766516,0.001449531531694248,-1.0625000000080338,0.06282725965007066,0.0006579495754635012,-3.0,0.02094395102393188,5.836493061479783,-35.0,0.9750072186299952,-10.0
0.11999999999999922,0.00402049306419777,0.0002589566195892818,-2.9998874496575207,1.4882963262323958,0.009165972642694383,-0.06352043263272952,0.001789644011540581,-1.3124999999717781,0.07539028633001194,0.0009474321501001803,-3.0,0.02513274122871818,6.670692421861686,-35.0,0.9735738762468019,-10.0
0.11999999999999922,0.00402049306419777,0.0002589566195892818,-2.9998874496575207,1.4882963262323958,0.009165972642694383,-0.06352043263272952,0.001789644011540581,-1.3124999999717781,0.07539028633001194,0.0009474321501001803,-3.0,0.02513274122871818,7.1785310251100825,-34.07414689613279,0.9712473012673887,-10.0
0.1399999999999988,0.005546332856755017,0.0003780307301019145,-2.999844873546031,1.4570463262323958,0.013516711477281479,-0.07531687042002874,0.0021288055744861367,-1.562500000024728,0.08795199021668423,0.0012895359143249019,-3.0,0.029321531433504477,8.141447161862745,-33.61381675562825,0.969369979807719,-10.0
0.1399999999999988,0.005546332856755017,0.0003780307301019145,-2.999844873546031,1.4570463262323958,0.013516711477281479,-0.07531687042002874,0.0021288055744861367,-1.562500000024728,0.08795199021668423,0.0012895359143249019,-3.0,0.029321531433504477,8.731922086295969,-31.658897480263022,0.9664800045849883,-10.0
0.16000000000000014,0.007289697640608425,0.0005232017350930753,-2.999796215147582,1.4212963262323957,0.01878734308497267,-0.08542217748514846,0.0024329199224570885,-1.7875000000171402,0.10051215090321455,0.0016842548656071932,-3.0,0.03351032163829115,9.830624802138338,-31.28329441404658,0.9641671686889203,-10.0
0.16000000000000014,0.007289697640608425,0.0005232017350930753,-2.999796215147582,1.4212963262323957,0.01878734308497267,-0.08542217748514846,0.0024329199224570885,-1.7875000000171402,0.10051215090321455,0.0016842548656071932,-3.0,0.03351032163829115,10.496860763406442,-29.408367852359895,0.9607517463083387,-10.0
0.17999999999999972,0.009263350030744648,0.0007017542184875905,-2.999740828938387,1.3805463262323956,0.025672711789009116,-0.09569229683572952,0.0027693104597492635,-2.0374999999756818,0.11307054800980343,0.0021315820782323858,-3.0,0.037699111843077455,11.731753646475864,-29.083611099381496,0.9580426087543694,-10.0
0.17999999999999972,0.009263350030744648,0.0007017542184875905,-2.999740828938387,1.3805463262323956,0.025672711789009116,-0.09569229683572952,0.0027693104597492635,-2.0374999999756818,0.11307054800980343,0.0021315820782323858,-3.0,0.037699111843077455,12.469000291159563,-27.25514298705109,0.9541202771057871,-9.904156667181143
0.1999999999999993,0.011465309930885393,0.0009218816459478581,-2.9996784197132222,1.3345463262323962,0.03429315010341197,-0.1051851221200016,0.0031204612582325097,-2.2999999999824707,0.12562696118759842,0.0026315097034248502,-3.0,0.04188790204786375,13.838027455488108,-26.941407453789587,0.9510370516712826,-8.730199683298132
0.1999999999999993,0.011465309930885393,0.0009218816459478581,-2.9996784197132222,1.3345463262323962,0.03429315010341197,-0.1051851221200016,0.0031204612582325097,-2.2999999999824707,0.12562696118759842,0.0026315097034248502,-3.0,0.04188790204786375,14.592941680621385,-25.132318672245212,0.9466231036729997,-7.503625057726159
0.21999999999999886,0.013883978439344984,0.0011916646809531665,-2.9996090384380816,1.2834790121051878,0.04461069615531772,-0.11319226279982275,0.003469063757033375,-2.5533657063586164,0.1381811701225559,0.003184028969486219,-3.0,0.04607669225265006,16.006913352937815,-24.808879066708077,0.9431848013034293,-6.393741777040634
0.21999999999999886,0.013883978439344984,0.0011916646809531665,-2.9996090384380816,1.2834790121051878,0.04461069615531772,-0.11319226279982275,0.003469063757033375,-2.5533657063586164,0.1381811701225559,0.003184028969486219,-3.0,0.04607669225265006,16.728304196444842,-23.00145361630472,0.9383028259546778,-5.209960428638475
0.23999999999999844,0.01649996784457108,0.0015172363868131641,-2.999533070261965,1.2286452990310073,0.056294942118396626,-0.11915765261034457,0.003798408805821829,-2.7416856537016847,0.15073295453930768,0.0037891301819475975,-3.0,0.05026548245743637,18.17970919817753,-22.639675985652488,0.9345349353643116,-4.157440821013699
0.23999999999999844,0.01649996784457108,0.0015172363868131641,-2.999533070261965,1.2286452990310073,0.056294942118396626,-0.11915765261034457,0.003798408805821829,-2.7416856537016847,0.15073295453930768,0.0037891301819475975,-3.0,0.05026548245743637,18.847561935665755,-20.817788669617794,0.9292244543224646,-3.017954187776102
0.2599999999999998,0.019306136306817358,0.001906980615962801,-2.999450572824304,1.1711901980249095,0.0693720333261739,-0.12347566261355047,0.004124871883059988,-2.872755050313761,0.16328209420502715,0.004446802723740428,-3.0,0.054454272662223024,20.318410600582002,-20.3967661724665,0.9251651901724087,-2.022689711253057
0.2599999999999998,0.019306136306817358,0.001906980615962801,-2.999450572824304,1.1711901980249095,0.0693720333261739,-0.12347566261355047,0.004124871883059988,-2.872755050313761,0.16328209420502715,0.004446802723740428,-3.0,0.054454272662223024,20.90616728086871,-18.55340322631247,0.9194648370055261,-0.9334982974899635
0.27999999999999936,0.02228735202877402,0.0023657622437019865,-2.9993619308370834,1.1122586593981154,0.08324861420305617,-0.12572191810661618,0.004432099361029174,-2.9465769313323475,0.17582836893328907,0.005157035055384007,-3.0,0.058643062867009335,22.372257001667972,-18.061151198595383,0.9151508987708786,0.0009024357451012932
0.27999999999999936,0.02228735202877402,0.0023657622437019865,-2.9993619308370834,1.1122586593981154,0.08324861420305617,-0.12572191810661618,0.004432099361029174,-2.9465769313323475,0.17582836893328907,0.005157035055384007,-3.0,0.058643062867009335,22.85040144428351,-16.20010823203664,0.9091080859114823,1.030767879289685
0.29999999999999893,0.025439555421627312,0.002901526946249096,-2.9992672064922035,1.0528137704412721,0.09798094693820972,-0.12628041636759424,0.004736217243994645,-2.972244447836475,0.1883715585879394,0.005919814715185323,-3.0,0.06283185307179563,24.284444768283514,-15.635155693248368,0.9045827496472507,1.898266121168831
0.29999999999999893,0.025439555421627312,0.002901526946249096,-2.9992672064922035,1.0528137704412721,0.09798094693820972,-0.12628041636759424,0.004736217243994645,-2.972244447836475,0.1883715585879394,0.005919814715185323,-3.0,0.06283185307179563,24.625118427113343,-13.770014687597566,0.8982389162376629,2.859048130932967
0.3199999999999985,0.028785242614189868,0.003536220283729187,-2.999165517150858,0.9938406546273235,0.11455468726897271,-0.12592228661136448,0.005084467067262288,-2.948655790690406,0.20091144308695374,0.006735128319460215,-3.0,0.06702064327658193,26.000736298114546,-13.140470907915656,0.8935396328285132,3.653122242542598
0.3199999999999985,0.028785242614189868,0.003536220283729187,-2.999165517150858,0.9938406546273235,0.11455468726897271,-0.12592228661136448,0.005084467067262288,-2.948655790690406,0.20091144308695374,0.006735128319460215,-3.0,0.06702064327658193,26.178970838110107,-11.293840064449695,0.8868993782800051,4.534643942795573
0.33999999999999986,0.0322949044972414,0.004265209071518248,-2.9990578887618056,0.9362047481882971,0.13025973154243214,-0.12304846479658585,0.0053814194526324854,-2.8817953219591494,0.21344780240630057,0.007602961562767185,-3.0,0.07120943348136863,27.471911040494284,-10.616779444496414,0.8820321772779923,5.248551715594751
0.33999999999999986,0.0322949044972414,0.004265209071518248,-2.9990578887618056,0.9362047481882971,0.13025973154243214,-0.12304846479658585,0.0053814194526324854,-2.8817953219591494,0.21344780240630057,0.007602961562767185,-3.0,0.07120943348136863,27.47046290969766,-8.819238775396638,0.8751365349281919,6.041359605961308
0.35999999999999943,0.035965677284812474,0.005096125566472523,-2.9989443904039903,0.8806421082915517,0.14598670434583133,-0.11868202234177164,0.0056749178907633535,-2.7781319948341285,0.2259804165837978,0.008523299218158198,-3.0,0.07539822368615491,28.662811097136025,-8.119543673786062,0.8701376587620991,6.669083197601001
0.35999999999999943,0.035965677284812474,0.005096125566472523,-2.9989443904039903,0.8806421082915517,0.14598670434583133,-0.11868202234177164,0.0056749178907633535,-2.7781319948341285,0.2259804165837978,0.008523299218158198,-3.0,0.07539822368615491,28.473019113117513,-6.405749763869289,0.8630207901834929,7.365281276657496
0.379999999999999,0.03981238264813831,0.006047901676136105,-2.9988244899558967,0.8281730585617555,0.1625126137400439,-0.11327803908231722,0.005995022404681194,-2.623452486498983,0.2385090657229786,0.009496125137445799,-3.0,0.07958701389094121,29.553951855791205,-5.712673465640008,0.8579200601299095,7.902198277440069
0.379999999999999,0.03981238264813831,0.006047901676136105,-2.9988244899558967,0.8281730585617555,0.1625126137400439,-0.11327803908231722,0.005995022404681194,-2.623452486498983,0.2385090657229786,0.009496125137445799,-3.0,0.07958701389094121,29.172695841966444,-4.121858563996583,0.850590295667203,8.49329046843523
0.3999999999999986,0.043832158461771506,0.007128337350970688,-2.9986982779832725,0.779517773325654,0.17864661271046628,-0.10670988484239852,0.00631059863120953,-2.432764261810857,0.25103352999694556,0.01052142225148689,-3.0,0.08377580409572752,30.13612121715408,-3.469581266181291,0.8453954444119025,8.934367114950822
0.3999999999999986,0.043832158461771506,0.007128337350970688,-2.9986982779832725,0.779517773325654,0.17864661271046628,-0.10670988484239852,0.00631059863120953,-2.432764261810857,0.25103352999694556,0.01052142225148689,-3.0,0.08377580409572752,29.569284500579116,-2.0405613109482488,0.8378629297216088,9.413555786504645
