t,x,y,z,psi,u,v,w,r,x_d,y_d,z_d,psi_d,tau_u,tau_v,tau_w,tau_r
0.0,0.0,0.0,-3.0,1.5707963267948966,0.0,-0.0,-0.0,-0.0,0.0,0.0,-3.0,0.7853981633974483,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-3.0,1.5707963267948966,0.0,-0.0,-0.0,-0.0,0.0,0.0,-3.0,0.7853981633974483,10.053614681390005,-10.053614681390005,0.28178845721267265,-2.872461337540001
0.019999999999999574,0.0,0.0,-3.0,1.5707963267948966,0.0,-0.0,-0.0,-0.0,0.008377574284877317,0.008377555910807582,-3.0,0.7853948735172888,23.45671167137693,-23.45671167137693,0.6574581185605897,-6.701917620393408
0.019999999999999574,0.0,0.0,-3.0,1.5707963267948966,0.0,-0.0,-0.0,-0.0,0.008377574284877317,0.008377555910807582,-3.0,0.7853948735172888,34.81285082739622,-34.81285082739622,0.9757544760478716,-9.946528807827491
0.03999999999999915,7.576337571694472e-05,7.576337570621202e-05,-2.999997876460811,1.5692404715986212,0.003791493953055549,-0.003784839853795241,0.00010617695944681316,-0.07779275892229316,0.016755111821615164,0.016754964829540867,-3.0,0.7853850037324983,35.0,-35.0,1.1507593866511137,-10.0
0.03999999999999915,7.576337571694472e-05,7.576337570621202e-05,-2.999997876460811,1.5692404715986212,0.003791493953055549,-0.003784839853795241,0.00010617695944681316,-0.07779275892229316,0.016755111821615164,0.016754964829540867,-3.0,0.7853850037324983,35.0,-35.0,1.2129136415704485,-10.0
0.05999999999999872,0.0003743734051386715,0.00037418399671353516,-2.9999892142669156,1.563110244225335,0.014994590116530357,-0.01485658792931836,0.0004331096947751689,-0.30651136868257056,0.025132575862235267,0.025132079766704677,-3.0,0.7853685536101284,35.0,-35.0,1.088918970181189,-10.0
0.05999999999999872,0.0003743734051386715,0.00037418399671353516,-2.9999892142669156,1.563110244225335,0.014994590116530357,-0.01485658792931836,0.0004331096947751689,-0.30651136868257056,0.025132575862235267,0.025132079766704677,-3.0,0.7853685536101284,35.0,-35.0,1.0302663749025933,-10.0
0.08000000000000007,0.0009172116329301124,0.0009153289031481438,-2.9999724381501665,1.5519800164801438,0.027429518291722688,-0.026765456037463203,0.0008388058374553253,-0.5565113872398894,0.03350992965908248,0.03350875373796275,-3.0,0.7853455224285562,31.318165140859577,-31.318165140859577,0.8440322612932972,-8.948047183102739
0.08000000000000007,0.0009172116329301124,0.0009153289031481438,-2.9999724381501665,1.5519800164801438,0.027429518291722688,-0.026765456037463203,0.0008388058374553253,-0.5565113872398894,0.03350992965908248,0.03350875373796275,-3.0,0.7853455224285562,31.28170169268181,-31.28170169268181,0.8188923734835558,-8.937629055051946
0.09999999999999964,0.0016995382223701425,0.0016911055163978347,-2.999948716843887,1.5359812836408162,0.03985400824061322,-0.03802996654984242,0.0011860653139628141,-0.7999366419066624,0.04188713646498302,0.04188483976671377,-3.0,0.7853159091774201,26.926591970046452,-26.926591970046452,0.6791512974902009,-7.693311991441845
0.09999999999999964,0.0016995382223701425,0.0016911055163978347,-2.999948716843887,1.5359812836408162,0.03985400824061322,-0.03802996654984242,0.0011860653139628141,-0.7999366419066624,0.04188713646498302,0.04188483976671377,-3.0,0.7853159091774201,29.28277444211444,-29.28277444211444,0.7156675842343178,-7.599667084453235
0.11999999999999922,0.002696610700467536,0.0026722239780168373,-2.999919498201424,1.515667973640907,0.05129544022660439,-0.04754513453310159,0.0014609321231651151,-1.0156654999712431,0.0502641595334101,0.050260190886674626,-3.0,0.7852797125575316,27.167372671666005,-27.167372671666005,0.6381431913441582,-5.942375424004774
0.11999999999999922,0.002696610700467536,0.0026722239780168373,-2.999919498201424,1.515667973640907,0.05129544022660439,-0.04754513453310159,0.0014609321231651151,-1.0156654999712431,0.0502641595334101,0.050260190886674626,-3.0,0.7852797125575316,30.672638691095454,-30.672638691095454,0.7066692385412516,-4.56191939252424
0.1399999999999988,0.003876740069162419,0.003822592361470045,-2.999885970224172,1.4920888370056655,0.061402825558368165,-0.054951530741719656,0.001676398862593409,-1.1789568317320285,0.05864096211864215,0.058634660144456154,-3.0,0.7852369309807601,30.143202344944346,-30.143202344944346,0.6748710056994571,-1.7779876149622886
0.1399999999999988,0.003876740069162419,0.003822592361470045,-2.999885970224172,1.4920888370056655,0.061402825558368165,-0.054951530741719656,0.001676398862593409,-1.1789568317320285,0.05864096211864215,0.058634660144456154,-3.0,0.7852369309807601,33.25611278504361,-32.964437726795666,0.7362124245842888,1.290250570055185
0.16000000000000014,0.005273407625227295,0.00516536554207268,-2.9998477104090417,1.4662241217548972,0.07334289228086269,-0.06328447942702342,0.001912990756514077,-1.2932357625208244,0.0670175074759255,0.06700810060214303,-3.0,0.7851875625698927,32.81339271680581,-32.120220709354655,0.7106693021747573,5.1608381725003
0.16000000000000014,0.005273407625227295,0.00516536554207268,-2.9998477104090417,1.4662241217548972,0.07334289228086269,-0.06328447942702342,0.001912990756514077,-1.2932357625208244,0.0670175074759255,0.06700810060214303,-3.0,0.7851875625698927,34.764234660879936,-32.98574052066615,0.7427398026547289,8.202165588312726
0.17999999999999972,0.0069092438442416105,0.0067123794493374155,-2.9998045029471982,1.4407850505725843,0.0865154481588242,-0.072027052251897,0.002160373092174872,-1.2719535591183095,0.07539375886163258,0.07538036533986896,-3.0,0.7851316051584698,35.0,-32.876818047324896,0.7564560603541406,10.0
0.17999999999999972,0.0069092438442416105,0.0067123794493374155,-2.9998045029471982,1.4407850505725843,0.0865154481588242,-0.072027052251897,0.002160373092174872,-1.2719535591183095,0.07539375886163258,0.07538036533986896,-3.0,0.7851316051584698,35.0,-31.984881409619632,0.7501437676991877,10.0
0.1999999999999993,0.008796959333036822,0.008470941078654015,-2.999756178716414,1.4189978486377672,0.10045014591461654,-0.08092958820973033,0.002416211539202351,-1.0893600967019343,0.08376967953342754,0.08375130745839895,-3.0,0.7850690562905925,35.0,-34.114024932592855,0.815747738736128,10.0
0.1999999999999993,0.008796959333036822,0.008470941078654015,-2.999756178716414,1.4189978486377672,0.10045014591461654,-0.08092958820973033,0.002416211539202351,-1.0893600967019343,0.08376967953342754,0.08375130745839895,-3.0,0.7850690562905925,35.0,-32.32228338789331,0.7672295708134024,9.579267227255727
0.21999999999999886,0.010942617746596332,0.0104404807987528,-2.999702534220925,1.4021657008426596,0.11445801465387802,-0.09003762006880249,0.0026822247744640038,-0.841607389721552,0.09214523275042444,0.09212078008170393,-3.0,0.7849999132207074,35.0,-35.0,0.8373018955329892,5.949665551424516
0.21999999999999886,0.010942617746596332,0.0104404807987528,-2.999702534220925,1.4021657008426596,0.11445801465387802,-0.09003762006880249,0.0026822247744640038,-0.841607389721552,0.09214523275042444,0.09212078008170393,-3.0,0.7849999132207074,35.0,-33.45956786505866,0.7546680822791443,3.652218356597761
0.2400000000000002,0.013369116252180516,0.012624882222463926,-2.999643068436456,1.3899825963676111,0.12874949906664768,-0.10036230183657499,0.002973289223451303,-0.6091552238103006,0.10052038177335,0.1004886363595392,-3.0,0.7849241729133636,35.0,-35.0,0.7895292725405487,-1.3095828222428794
0.2400000000000002,0.013369116252180516,0.012624882222463926,-2.999643068436456,1.3899825963676111,0.12874949906664768,-0.10036230183657499,0.002973289223451303,-0.6091552238103006,0.10052038177335,0.1004886363595392,-3.0,0.7849241729133636,35.0,-34.058667694879134,0.6897795329390305,-3.9838614875315876
0.2599999999999998,0.016084776478767084,0.015018818638038388,-2.99957788158547,1.379532038503542,0.14280774732644116,-0.1112226878672864,0.0032593425492999373,-0.5225278932420381,0.10889508986470159,0.1088547294700181,-3.0,0.7848418320429458,35.0,-33.73502278081339,0.6365843727527569,-7.058572758707949
0.2599999999999998,0.016084776478767084,0.015018818638038388,-2.99957788158547,1.379532038503542,0.14280774732644116,-0.1112226878672864,0.0032593425492999373,-0.5225278932420381,0.10889508986470159,0.1088547294700181,-3.0,0.7848418320429458,35.0,-32.30743654588409,0.5544894042992599,-8.636920452531555
0.27999999999999936,0.019065023027539103,0.01759902224949049,-2.9995080367243334,1.3672159601389389,0.15578839506536807,-0.12074058098066347,0.0034922430568240515,-0.6158039181780073,0.11726932028891306,0.11721891262219272,-3.0,0.7847528869933803,32.11569598968817,-29.261308068905215,0.44103457246985184,-8.59401201130034
0.27999999999999936,0.019065023027539103,0.01759902224949049,-2.9995080367243334,1.3672159601389389,0.15578839506536807,-0.12074058098066347,0.0034922430568240515,-0.6158039181780073,0.11726932028891306,0.11721891262219272,-3.0,0.7847528869933803,32.13857702679415,-28.776227788691333,0.41331603047200005,-8.425292814389936
0.29999999999999893,0.02229729977681715,0.02036142391165076,-2.9994345139330543,1.3510383875575798,0.16906189941834085,-0.12889509617533348,0.0036761395639572925,-0.8088786290282955,0.12564303631251272,0.12558103905862628,-3.0,0.7846573338578171,29.03296143665675,-24.3643104034286,0.3024765195207136,-5.753126473429365
0.29999999999999893,0.02229729977681715,0.02036142391165076,-2.9994345139330543,1.3510383875575798,0.16906189941834085,-0.12889509617533348,0.0036761395639572925,-0.8088786290282955,0.12564303631251272,0.12558103905862628,-3.0,0.7846573338578171,30.788544947703425,-24.614318993590047,0.33070295769637925,-4.013144168892885
0.3199999999999985,0.02577720294559072,0.023307293196529882,-2.999358057950918,1.3307409584707957,0.1831815424815239,-0.13569442419763345,0.0038227991068229272,-1.0148714543052708,0.13401620120428534,0.13394096205796915,-3.0,0.7845551684382841,28.372985238695023,-20.163663936415965,0.25585013656953787,0.002811265703517817
0.3199999999999985,0.02577720294559072,0.023307293196529882,-2.999358057950918,1.3307409584707957,0.1831815424815239,-0.13569442419763345,0.0038227991068229272,-1.0148714543052708,0.13401620120428534,0.13394096205796915,-3.0,0.7845551684382841,31.104323184778803,-20.642530615096238,0.3131309839325756,2.8979563611892236
0.33999999999999986,0.02945437503554261,0.026411067408601198,-2.9992795409511146,1.3086110799430424,0.19616535290636677,-0.13929935255059964,0.003925849990160657,-1.1064939264139315,0.14238877823543392,0.14229853493753372,-3.0,0.784446386245318,31.1919229266413,-18.505578134856165,0.3086688534480623,6.583652625772911
0.33999999999999986,0.02945437503554261,0.026411067408601198,-2.9992795409511146,1.3086110799430424,0.19616535290636677,-0.13929935255059964,0.003925849990160657,-1.1064939264139315,0.14238877823543392,0.14229853493753372,-3.0,0.784446386245318,33.62260400120124,-18.658833418328612,0.35536277754114315,9.077181692720634
0.35999999999999943,0.03332825111539215,0.029694202429613084,-2.9991988579245628,1.287856291260412,0.2104283447461269,-0.14206229818153837,0.004034151327592106,-1.0377394341457722,0.15076073067973791,0.1506536110558652,-3.0,0.7843309824975683,35.0,-19.301642530096426,0.40204804212180206,10.0
