t,x,y,z,psi,u,v,w,r,x_d,y_d,z_d,psi_d,tau_u,tau_v,tau_w,tau_r
0.0,0.0,0.0,-3.0,1.5707963267948966,0.0,-0.0,-0.0,-0.0,0.0,0.0,-3.0,0.0,1.5389365549774318e-15,-25.132741228718345,0.9809999999999945,-10.0
0.0,0.0,0.0,-3.0,1.5707963267948966,0.0,-0.0,-0.0,-0.0,0.0,0.0,-3.0,0.0,1.5389365549774318e-15,-25.132741228718345,0.9809999999999945,-10.0
0.02000000000000135,4.370911518038018e-05,-1.8667436292488058e-15,-2.999998293913044,1.5695463266881262,1.6390916212073468e-06,-0.0021854550077686176,8.530434780773533e-05,-0.06250000555731261,0.01256633386621249,2.6318906587108337e-05,-3.0,0.004188790204786674,0.14171393835478843,-26.57548192596718,0.9780638243484523,-10.0
0.02000000000000135,4.370911518038018e-05,-1.8667436292488058e-15,-2.999998293913044,1.5695463266881262,1.6390916212073468e-06,-0.0021854550077686176,8.530434780773533e-05,-0.06250000555731261,0.01256633386621249,2.6318906587108337e-05,-3.0,0.004188790204786674,0.14171393835478938,-26.57548224296043,0.9780638243483865,-10.0
0.040000000000000924,0.00026476407730411126,1.886860439320552e-07,-2.999989768584654,1.563296326232396,6.154487567653572e-05,-0.011052549849334872,0.00042626641949539135,-0.3125000229380609,0.02513244724431242,0.00010527516455816066,-3.0,0.008377580409572975,0.43222016075526143,-27.773652075591617,0.9661214733186109,-10.0
0.040000000000000924,0.00026476407730411126,1.886860439320552e-07,-2.999989768584654,1.563296326232396,6.154487567653572e-05,-0.011052549849334872,0.00042626641949539135,-0.3125000229380609,0.02513244724431242,0.00010527516455816066,-3.0,0.008377580409572975,0.43222016075934805,-27.77366052636271,0.9661214733103077,-10.0
0.0600000000000005,0.0006727808274609386,1.332834687306909e-06,-2.9999744601033136,1.5520463262323965,0.0003369962150568724,-0.02039798768776862,0.0007654240670174062,-0.5624999999415277,0.03769811965005813,0.00023686738855166478,-3.0,0.012566370614359274,0.8879707296584669,-28.92606589385503,0.9534161023253821,-10.0
0.0600000000000005,0.0006727808274609386,1.332834687306909e-06,-2.9999744601033136,1.5520463262323965,0.0003369962150568724,-0.02039798768776862,0.0007654240670174062,-0.5624999999415277,0.03769811965005813,0.00023686738855166478,-3.0,0.012566370614359274,0.8879707299097381,-28.926095795531076,0.953416102276049,-10.0
0.08000000000000007,0.0012760427679801877,4.246035851428666e-06,-2.9999524528732397,1.5357963262323961,0.000981578685555108,-0.030147063237172582,0.0011003615036919712,-0.8124999999914342,0.05026313060694412,0.0004210932696588898,-3.0,0.01675516081914558,1.5246203765674222,-30.026421103559723,0.9400352293574553,-10.0
0.08000000000000007,0.0012760427679801877,4.246035851428666e-06,-2.9999524528732397,1.5357963262323961,0.000981578685555108,-0.030147063237172582,0.0011003615036919712,-0.8124999999914342,0.05026313060694412,0.0004210932696588898,-3.0,0.01675516081914558,1.5246203802205203,-30.02648873598689,0.9400352292069531,-10.0
0.10000000000000142,0.0020825644163014866,9.784321073827066e-06,-2.999923836454405,1.514546326232396,0.00216005240053945,-0.04026825169984198,0.0014308209417279727,-1.0625000000080338,0.06282725965007177,0.0006579495754635012,-3.0,0.020943951023932247,2.356257160283083,-31.063490111832174,0.9259979402139386,-10.0
0.10000000000000142,0.0020825644163014866,9.784321073827066e-06,-2.999923836454405,1.514546326232396,0.00216005240053945,-0.04026825169984198,0.0014308209417279727,-1.0625000000080338,0.06282725965007177,0.0006579495754635012,-3.0,0.020943951023932247,2.356257187569239,-31.063614648043572,0.9259979398742363,-10.0
0.120000000000001,0.0031000966946635603,1.8844441100766506e-05,-2.9998887050727414,1.4882963262323958,0.004047129127597066,-0.050715750052545784,0.0017565690831888858,-1.3124999999717781,0.07539028633001305,0.0009474321501001803,-3.0,0.02513274122871855,3.395079050980073,-32.02256837991727,0.9113231015274992,-10.0
0.120000000000001,0.0031000966946635603,1.8844441100766506e-05,-2.9998887050727414,1.4882963262323958,0.004047129127597066,-0.050715750052545784,0.0017565690831888858,-1.3124999999717781,0.07539028633001305,0.0009474321501001803,-3.0,0.02513274122871855,3.39507918872606,-32.022771541429385,0.9113231008824823,-10.0
0.14000000000000057,0.004324925460357269,3.210301305788385e-05,-2.9998474744696817,1.4572963262323952,0.006748477579480214,-0.0608693558276544,0.0020615301529858243,-1.5500000000213086,0.08795199021668536,0.0012895359143249019,-3.0,0.02932153143350485,4.645056858769027,-32.90612161499402,0.8965754425298824,-10.0
0.14000000000000057,0.004324925460357269,3.210301305788385e-05,-2.9998474744696817,1.4572963262323952,0.006748477579480214,-0.0608693558276544,0.0020615301529858243,-1.5500000000213086,0.08795199021668536,0.0012895359143249019,-3.0,0.02932153143350485,4.6450573818006315,-32.90642168617914,0.8965754414592856,-10.0
0.16000000000000014,0.005786693112269958,5.10506899684829e-05,-2.9997996128938125,1.4210463262323962,0.010665626747563082,-0.0723077824918369,0.0023930787934611786,-1.8125000000263642,0.10051215090321455,0.0016842548656071932,-3.0,0.03351032163829115,6.122868081717892,-33.632160384716734,0.8801746323211576,-6.840502723149615
0.16000000000000014,0.005786693112269958,5.10506899684829e-05,-2.9997996128938125,1.4210463262323962,0.010665626747563082,-0.0723077824918369,0.0023930787934611786,-1.8125000000263642,0.10051215090321455,0.0016842548656071932,-3.0,0.03351032163829115,6.122869800315925,-33.63259212342984,0.8801746306064082,-6.860004887861909
0.1800000000000015,0.007481210805507066,7.643606842520426e-05,-2.999745542794539,1.3801912633920024,0.01578096043937216,-0.08324646581550044,0.0027035049636747743,-2.042753142029113,0.11307054800980454,0.0021315820782323858,-3.0,0.03769911184307783,7.816329833569898,-34.23503558847807,0.8636985081525556,-2.9517369823153476
0.1800000000000015,0.007481210805507066,7.643606842520426e-05,-2.999745542794539,1.3801912633920024,0.01578096043937216,-0.08324646581550044,0.0027035049636747743,-2.042753142029113,0.11307054800980454,0.0021315820782323858,-3.0,0.03769911184307783,7.816334627324027,-34.23561675787816,0.8636985056186366,-2.8522337565358136
0.20000000000000107,0.009415040553407755,0.00010929780767360067,-2.9996853783954363,1.3363971693664602,0.022227147125645413,-0.0941079466628593,0.0030082199551362265,-2.1897047012591417,0.12562696118759953,0.0026315097034248502,-3.0,0.04188790204786412,9.662928104613364,-34.68581965646994,0.8466677292386969,0.22038193205491385
0.20000000000000107,0.009415040553407755,0.00010929780767360067,-2.9996853783954363,1.3363971693664602,0.022227147125645413,-0.0941079466628593,0.0030082199551362265,-2.1897047012591417,0.12562696118759953,0.0026315097034248502,-3.0,0.04188790204786412,9.662939838324075,-34.6865704286294,0.8466677256623023,0.43968694881465353
0.22000000000000064,0.011582042478560211,0.000150229812887478,-2.9996195297707633,1.2915430879721992,0.02976593687331791,-0.10419130337709384,0.0032924312336479744,-2.2427040697098435,0.138181170122557,0.003184028969486219,-3.0,0.04607669225265043,11.596214287238167,-35.0,0.8296052752074874,2.487716570338822
0.22000000000000064,0.011582042478560211,0.000150229812887478,-2.9996195297707633,1.2915430879721992,0.02976593687331791,-0.10419130337709384,0.0032924312336479744,-2.2427040697098435,0.138181170122557,0.003184028969486219,-3.0,0.04607669225265043,11.596239493675395,-35.0,0.8296052704011568,2.7814241352293
0.2400000000000002,0.014000548751536964,0.00020071964027583,-2.999547815022705,1.247080757261985,0.03861044392472639,-0.11461230038232093,0.0035857374029113487,-2.2231165355033573,0.1507329545393088,0.0037891301819475975,-3.0,0.05026548245743674,13.54334152427228,-35.0,0.811541980350212,3.9633859452122895
0.2400000000000002,0.014000548751536964,0.00020071964027583,-2.999547815022705,1.247080757261985,0.03861044392472639,-0.11461230038232093,0.0035857374029113487,-2.2231165355033573,0.1507329545393088,0.0037891301819475975,-3.0,0.05026548245743674,13.543390960438778,-35.0,0.8115419739956533,4.278371730246745
0.26000000000000156,0.016676240665794727,0.00026193007940045616,-2.9994703542390706,1.2040832786656503,0.04846292203499838,-0.12472404369493643,0.0038730391817232146,-2.149873929811387,0.1632820942050283,0.0044468027237407615,-3.0,0.05445427266222341,15.460606907967504,-35.0,0.7929755516357297,4.7277960501973535
