Controller,Trajectory,Pos_MSE,Pos_RMSE,Pos_MAE,Pos_ITAE,Psi_MSE,Psi_RMSE,Psi_MAE,Psi_ITAE
backstepping,circle,0.0023894205983880684,0.04888170003578096,0.03979563522839049,62.95820197502777,0.017689481700924298,0.13300181089340213,0.026248854481989922,11.742691131336668
backstepping,figure8,0.0012682679353309963,0.03561274961767199,0.023318072610777597,32.107567223886385,0.004165156052977394,0.06453802021271952,0.014234310101528879,8.846859429411495
backstepping,spline,0.0006514291973564482,0.02552311104384511,0.018329880034204108,26.634088746200025,0.0009399770899461914,0.03065904580945388,0.00890847458676432,8.41707081428103
hasten_adaptive_backstepping,circle,0.007496960011666452,0.08658498721872315,0.07499502176542716,117.37016275904918,0.015347240412569074,0.1238839796445411,0.018124500700272512,1.9783349493891795
hasten_adaptive_backstepping,figure8,0.004335222372855922,0.06584240558223797,0.045737127262024446,60.48863419509201,0.003497141248041616,0.0591366320316064,0.010170417855967472,3.304686913937198
hasten_adaptive_backstepping,spline,0.0025780649321536144,0.0507746485182676,0.03778139740311648,53.20570123272709,0.0007899342531733451,0.028105769037216274,0.007462632476601097,5.504280522555085
hasten_fl_input,circle,0.11423463633122113,0.3379861481351287,0.3167767032614655,642.251284967457,5.647960773475146,2.376543871565418,2.3343923233411434,4666.993478891993
hasten_fl_input,figure8,0.06154235096099057,0.24807730843628276,0.23023954687861414,498.70952471408657,0.28814420773104477,0.5367906554058526,0.49829531790562,888.6912900960992
hasten_fl_input,spline,0.07700140743691863,0.2774912745239364,0.24890774017919845,570.7951964456765,0.06926933737918105,0.2631906863458148,0.23561503459897487,419.95798918022376
hasten_fl_io,circle,0.0012715154677630756,0.03565831554859365,0.015018402865045395,16.139626164136136,0.013454876372705326,0.11599515667779119,0.02500078435438259,20.997717557172198
hasten_fl_io,figure8,0.0008660506121130851,0.0294287378613675,0.010164674029763907,8.687319553425564,0.003020933174601943,0.05496301642561062,0.014866208811908359,16.155592281279503
hasten_fl_io,spline,0.0003336682349957276,0.018266587940710975,0.007071988081689181,7.4459924851259185,0.0007520802181227174,0.02742408098957406,0.011296144184094343,15.833337717953874
hasten_inn,circle,0.0025710846647423588,0.05070586420466926,0.04027180524148589,63.04765171947811,0.01829442736237028,0.13525689395505977,0.026639412191174466,11.769038857684567
hasten_inn,figure8,0.001522178244061144,0.039015102768814335,0.024329141173664824,32.591975791280504,0.0043582413853214905,0.06601697800809646,0.014977620676883803,10.257854339988702
hasten_inn,spline,0.0008311304556636392,0.028829333250417692,0.02004056900315843,28.27758535174023,0.0009449975428273638,0.0307408123319369,0.008739734524400909,7.96919069823719
hasten_mrac,circle,0.029198492936451596,0.17087566513828584,0.12467896865551217,156.34039287980426,1.9998094600232774,1.414146194713714,1.0210946547773823,2226.0615701301745
hasten_mrac,figure8,0.02576121089326588,0.16050299340905103,0.10192038450702526,108.58256543363906,1.167582510299594,1.0805473197873354,0.7817121230708157,2021.8047604174844
hasten_mrac,spline,0.013663363982957925,0.1168903930310696,0.08293614535112544,97.82702928660333,0.0010037416531018847,0.031681882095322,0.014312530121083787,19.101006232564565
hasten_state_feedback,circle,0.10731641724238174,0.32759184550654147,0.3254898222312814,574.340772951182,0.03168238476597053,0.17799546276793274,0.03989343970439388,4.7655003317851286
hasten_state_feedback,figure8,0.037728005615291306,0.1942369831296072,0.1801109381121066,302.4142478067606,0.007970517444057558,0.08927775447477136,0.022141736686735518,6.484657057343818
hasten_state_feedback,spline,0.028630668214814886,0.16920599343644682,0.15544458166973943,266.9145791967604,0.0018766381266570162,0.04332018151689829,0.012974717816551193,7.418415878625737
observer_linear,circle,0.07368958179929204,0.2714582505640454,0.26637591832469376,464.77329344552936,0.01957502623255794,0.13991077954381478,0.07750306981394037,105.69186160300234
observer_linear,figure8,0.0282934674926954,0.16820662142940568,0.14985166062983793,235.77594778881297,0.0058532587007199205,0.07650659253110101,0.05142338875368263,79.04240245202709
observer_linear,spline,0.019805736640845402,0.14073285558406537,0.12360477496391256,197.6618573954535,0.004643858580821042,0.06814586253633483,0.04745940516376167,79.80260345084965
